date,open,high,low,close,volume
2012-11-28,12.2,12.41,12.1,12.35,376900
2012-11-29,12.35,12.6,12.15,12.45,329552
2012-11-30,12.45,12.65,12.42,12.57,305812
2012-12-01,12.57,12.69,12.46,12.56,184860
2012-12-02,12.56,12.68,12.43,12.5,176013
2012-12-03,12.5,12.68,12.48,12.68,336294
2012-12-04,12.68,13.5,12.62,13.41,823838
2012-12-05,13.41,13.42,13.15,13.38,395716
2012-12-06,13.38,13.69,12.9,13.3,623136
2012-12-07,13.3,13.55,12.98,13.5,437726
2012-12-08,13.5,13.55,13.35,13.42,177338
2012-12-09,13.42,13.53,13.02,13.39,372655
2012-12-10,13.39,13.55,13.27,13.43,331115
2012-12-11,13.43,13.67,13.3,13.56,378671
2012-12-12,13.56,13.8,13.3,13.7,512418
2012-12-13,13.7,13.8,13.47,13.7,331480
2012-12-14,13.7,13.9,13.0,13.6,951046
2012-12-15,13.6,13.64,13.44,13.49,205671
2012-12-16,13.49,13.67,13.13,13.3,570895
2012-12-17,13.3,13.49,12.75,13.25,839092
2012-12-18,13.25,13.4,13.11,13.3,307326
2012-12-19,13.3,13.6,13.2,13.6,520163
2012-12-20,13.6,13.72,13.33,13.52,446364
2012-12-21,13.52,13.6,13.42,13.5,342557
2012-12-22,13.5,13.59,13.32,13.37,198463
2012-12-23,13.37,13.47,13.01,13.31,316965
2012-12-24,13.31,13.45,13.21,13.38,223315
2012-12-25,13.38,13.43,13.14,13.35,175265
2012-12-26,13.35,13.47,13.2,13.47,211349
2012-12-27,13.47,13.47,13.25,13.42,265311
2012-12-28,13.42,13.65,13.34,13.42,320223
2012-12-29,13.42,13.67,13.27,13.4,352722
2012-12-30,13.4,13.59,13.35,13.45,158277
2012-12-31,13.45,13.56,13.37,13.51,202798
2013-01-01,13.51,13.56,13.16,13.3,378879
2013-01-02,13.3,13.4,13.16,13.28,239156
2013-01-03,13.28,13.46,13.25,13.4,240845
2013-01-04,13.4,13.52,13.27,13.5,397884
2013-01-05,13.5,13.55,13.31,13.44,286932
